,Acronym,Meaning
2186,iistgtbtipi,If It Sounds Too Good To Be True It Probably Is
2187,iit,is it tight
2188,iitywimwybmad,if I tell you what it means will you buy me a drink
2189,iitywybmad,"if I tell you, will you buy me a drink?"
2190,iiuc,if I understand correctly
2191,iiw2,is it web 2.0?
2192,iiwii,it is what it is
2193,ij,indide joke
2194,ijaf,it's just a fact
2195,ijcomk,i just came on my keyboard
2196,ijdk,I just don't know
2197,ijdl,I just died laughing
2198,ijeomk,I just ejaculated on my keybord
2199,ijf,i just farted
2200,ijgl,I just got laid
2201,ijit,idiot
2202,ijk,I'm Just kidding
2203,ijp,Internet job posting
2204,ijpmp,I just peed my pants
2205,ijpms,I just pissed myself
2206,ijr,i just remembered
2207,ijs,I'm just saying
2208,ijsabomomcibstg,I just saved a bunch of money on my car insurance by switching to geico
2209,ik,i know
2210,iki,i know it
2211,ikic,I know I can
2212,ikm,I know man
2213,ikr,I know really
2214,ikt,i knew that
2215,ikwud,I know what you did
2216,ikwum,I know what you meant
2217,ikwyl,I know where you live
2218,ikwym,i know what you mean
2219,ilbbaicnl,I like big butts and I can not lie
2220,ilbcnu,i'll be seeing you
2221,ilcul8r,I'll see you later
2222,ilhsm,i love him/her so much
2223,ili,i love it
2224,ilk2fku,I would like to f**k you
2225,ilml,I Love My Life
2226,ilms,I love my self
2227,ilotibinlirl,"I'm laughing on the internet, but I'm not laughing in real life"
2228,ilshipmp,I laughed so hard I peed my pants
2229,iltf,i love to f**k
2230,iltwummf,i love the way you make me feel
2231,iltwymmf,I love the way you make me feel
2232,ilu,I love you
2233,ilu2,I love you too
2234,iluaaf,i love you as a friend
2235,ilul,I love you loads 
2236,ilulafklc,I love you like a fat kid loves cake.
2237,ilum,i love you more
2238,ilusfm,I love you so f**king much
2239,ilusm,I love you So much
2240,iluvm,I Love You Very Much
2241,iluvu,i love you
2242,iluvya,i love you
2243,iluwamh,i love you with all my heart
2244,ilvu,i love you
2245,ily,i love you
2246,ily2,i love you too
2247,ily4e,i love you forever
2248,ily4ev,i love you forever
2249,ilyaas,I Love You As A Sister
2250,ilyal,I like you a lot
2251,ilyb,i love you b***h
2252,ilybby,i love you baby
2253,ilybtid,I Love You But Then I Don't
2254,ilyf,I'll Love You Forever
2255,ilygsm,i love you guys so much
2256,ilykthnxbai,i love you k thanks bye
2257,ilyl,i love you loads
2258,ilylab,I love you like a brother
2259,ilylabf,I love you like a best friend
2260,ilylafklc,i love you like a fat kid loves cake
2261,ilylas,i love you like a sister
2262,ilylc,i love you like crazy
2263,ilym, i love you more
2264,ilymtyk,i love you more than you know
2265,ilymtylm,i love you more than you love me
2266,ilys,i love you sexy
2267,Ilysb,I love you so bad
2268,ilysfm,i love you so f**king much
2269,ilysfmb,i love you so f**king much baby
2270,ilysm,i love you so much
2271,ilysmih,i love you so much it hurts
2272,ilysmm,i love you so much more
2273,ilysmydek,I Love You So Much You Don't Even Know
2274,ilysvm,i love you so very much
2275,ilyvm,i love you very much
2276,ilywamh,I love you with all my heart
2277,im,Instant Message
2278,im'd,instant messaged
2279,im26c4u,I am too sexy for you
2280,ima,I am a
2281,imao,in my arrogant opinion
2282,imb,I am back
2283,imcdo,in my conceited dogmatic opinion
2284,imed,instant messaged
2285,imf,in my feels
2286,imfao,In My f**king Arrogant Opinion
2287,imfo,in my f**king opinion
2288,imh,I am here
2289,imhbco,In my humble but correct opinion
2290,imhe,in my humble experience
2291,imho,in my humble opinion
2292,imm,instant message me
2293,imma,I'm going to
2294,imnerho,In my not even remotely humble opinion
2295,imnl,I'm not laughing
2296,imnshmfo,In My Not So Humble Mother f**king Opinion
2297,imnsho,in my not so humble opinion
2298,imo,in my opinion
2299,imoo,in my own opinion
2300,impo,In My Personal Opinion
2301,impov,in my point of view
2302,imr,in my room
2303,imsb,i am so bored
2304,imsry,I am sorry
2305,imtaw,it may take a while
2306,imts,I meant to say
2307,imu,i miss you 
2308,imusm,I miss you so much
2309,imvho,in my very humble opinion
2310,imwtk,Inquiring minds want to know
2311,imy,I miss you
2312,imy2,i miss you to
2313,imya,i miss you already
2314,imysfm,i miss you so f**king much
2315,in2,into
2316,inb4,in before
2317,inbd,it's no big deal
2318,inc,incoming
2319,incld,include
2320,incrse,increase
2321,ind2p,I need to pee
2322,indie,independent
2323,inef,it's not even funny
2324,inet,internet
2325,inh,I need help
2326,inho,in my honest opinion
2327,inhwh,I need homework help
2328,init,isn't it
2329,inmp,it's not my problem
2330,innit,isn't it
2331,ino,I know
2332,instagib,instant kill
2333,instakill,instant kill
2334,intarwebs,internet
2335,intel,intelligence
2336,interweb,internet
2337,intpftpotm,I nominate this post for the post of the month
2338,inttwmf,I am Not Typing This With My Fingers
2339,invu,I envy you
2340,ioh,I'm out of here
2341,iois,Indicators of Interest
2342,iokiya,it's ok if you are
2343,iomw,I'm on my way
2344,ionno,I don't know
2345,iono,I don't know
2346,iotd,image of the day
2347,iou,i owe you
2348,iow,in other words
2349,ioya,I'd Own Your Ass
2350,ioyk,if only you knew
2351,ip,internet protocol
2352,irc,internet relay chat
2353,ircd,Internet Relay Chat daemon
2354,ircx,Internet Relay Chat eXtension
2355,irdc,I really don't care
2356,irdgaf,i really don't give a f**k
2357,irdk,I really don't know
2358,irgtgbtw,I've really got to get back to work
2359,irhtgttbr,I really have to go to the bathroom
2360,irhy,i really hate you
2361,irl,in real life
2362,irly,I really love you
2363,irt,in reply to
2364,irtf,I'll return the favor
2365,is2g,i swear to god
2366,isb,I'm so bored.
2367,isbya,im sorry but you asked
2368,isd,internet slang dictionary
2369,isdc,I so don't care
2370,ise,internal server error
2371,isfly,i so f**king love you
2372,isg,I speak geek
2373,ishii,i see how it is
2374,isianmtu,I swear I am not making this up
2375,isj,inside joke
2376,iso,In Search Of
2377,isp,internet service provider
2378,iss,im so sorry
2379,istg,i swear to god
2380,istr,I seem to remember
2381,istwfn,I stole this word from noslang.com
2382,iswydt,i see what you did there
2383,ita,I Totally Agree
2384,itb,in the butt
2385,itc,in that case
2386,itd,in the dark
2387,ite,alright
2388,itk,in the know
2389,itn,I think not
2390,itt,in this thread
2391,ittif,I think that is fine
2392,ityltk,I thought you'd like to know
2393,itys, i told you so
2394,itz,it's
2395,itzk,it's ok
2396,iucmd,if you catch my drift
2397,iukwim,if you know what i mean
2398,iunno,I don't know
2399,iuno,i dunno
2400,ive,i have
2401,iw2f,i want to f**k
2402,iw2fu,i want to f**k you
2403,iw2mu,I want to meet you
2404,iwaa,It was an accident
2405,[email protected],I will be right back later
2406,iwc,In Which Case
2407,iwfusb,i wanna f**k you so bad
2408,iwfy,I want to f**k you
2409,iwfybo,i will f**k your brains out
2410,iwg,it was good
2411,iwhi,I would hit it
2412,iwhswu,I want to have sex with you
2413,iwjk,i was just kidding
2414,iwk,I wouldn't know
2415,iwlu4e,I will love you for ever
2416,iwmu,i will miss you
2417,iwmy,i will miss you
2418,iws,i want sex
2419,iwsn,i want sex now
2420,iwsul8r,I will see you later
2421,iwtfu,i want to f**k you
2422,iwtfy,i want to f**k you
2423,iwthswy,i want to have sex with you
2424,iwtk,I Want to Know
2425,iwtly,i want to love you
2426,iwu,i want you
2427,iwuwh,i wish you were here 
2428,iwy,i want you
2429,iwyb,I want your body
2430,iwyn,I want you now
2431,iwythmb,i want you to have my baby
2432,iya,In your ass
2433,iyam,if you ask me
2434,iyc,if you can
2435,iyd,In Your Dreams
2436,iydhantsdsaaa,If you don't have anything nice to say don't say anything at all
2437,iydmma,if you don't mind me asking
2438,iyf,In your face
2439,iyflg,If You're Feeling Less Generous
2440,iygm,if you get me
2441,iykwim,if you know what I mean
2442,iym,I am your man
2443,iyo,in your opinion
2444,iyq,I like you
2445,iyss,if you say so
2446,iyswim,if you see what I mean
2447,iywt,if you want to
2448,iz,is
2449,j-c,just chilling
2450,j/a,Just Asking
2451,j/c,just curious
2452,j/j,just joking
2453,j/k,just kidding
2454,j/o,jackoff
2455,j/p,just playing
2456,j/s,just saying
2457,j/t,just talking
2458,j/w,just wondering
2459,j00,you
2460,j00r,your
2461,j2bs,just to be sure
2462,j2c,just too cute
2463,j2f,just too funny
2464,j2luk,just to let you know
2465,j2lyk,just to let you know
2466,j4f,just for fun
2467,j4g,just for grins
2468,j4l,just for laughs
2469,j4u,just for you
2470,jalaudlm,just as long as you don't leave me
2471,jas,just a second
2472,jb,jailbait
2473,jbu,just between us
2474,jc,just curious
2475,jcam,just checking away message
2476,jcath,Just chilling at the house
2477,jdfi,Just f**king do it
2478,jdi,just do it
2479,jebus,Jesus
2480,jeomk,Just ejaculated on my keyboard
2481,jf,just fooling
2482,jfc,Jesus f**king Christ
2483,jfdi,Just f**king Do It!
2484,jff,just for fun
2485,jfg,just for giggles
2486,jfgi,just f**king google it
2487,jfi,just forget it
2488,jfj,jump for joy
2489,jfk,Just f**king kidding
2490,jfl,just for laughs
2491,jflts,just felt like typing something
2492,jfn,just for now
2493,jfo,just f**k off
2494,jfr,Just for reference
2495,jftr,just for the record
2496,jfu,just for you
2497,jfwy,just f**king with you
2498,jg2h,just go to hell
2499,jgiyn,Just google it you noob
2500,jgtfooh,just get the f**k out of here
2501,jh,Just hanging
2502,jhm,just hold me
2503,jho,just hanging out
2504,jic,just in case
2505,jit,just in time
2506,jizz,semen
2507,jj,just joking
2508,jj/k,just joking
2509,jja,just joking around
2510,jk,just kidding
2511,jka,just kidding around
2512,jking,joking
2513,jkl,just kidding loser
2514,jklol,Just Kidding Laughing Out Loud
2515,jkn,joking
2516,jks,jokes
2517,jkz,jokes
2518,jlma,just leave me alone
2519,jlt,just like that
2520,jm,Just Messing
2521,jma,just messing around
2522,jml,just my luck
2523,jmo,just my opinion
2524,jms,just making sure
2525,jom,just one minuite
2526,joo,you
2527,jooc,just out of curiosity
2528,jooce,Juice
2529,joor,your
2530,jp,just playing
2531,js,just saying
2532,jsa,just stop already
2533,jsing,just saying
2534,jst,just
2535,jsuk,just so you know
2536,jsun,Just so you know
2537,jsut,just
2538,jsyk,Just so you know
2539,jsyn,just so you know
2540,jtay,just thinking about you
2541,jtbs,Just To Be Sure
2542,jtc,Join the club
2543,jtfo,joke the f**k out
2544,jtluk,just to let you know
2545,jtlyk,just to let you know
2546,jtoi,just thought of it
2547,jtol,just thinking out loud
2548,Jts,Just to say
2549,jttsiowctw,just testing to see if other websites copy this word
2550,jtty,just to tell you
2551,jtumltk,just thought you might like to know
2552,jtwii,just the way it is.
2553,jtwiw,just the way it was.
2554,jtyltk,just thought you'd like to know
2555,jtysk,just thought you should know
2556,jumping the couch,acting strange
2557,jus,just
2558,juss,just
2559,juz,just
2560,juzt,just
2561,jw,just wondering
2562,jw2k,just wanted to know
2563,jwas,just wait a second
2564,jwing,just wondering
2565,jwtlyk,Just wanted to let you know
2566,jyfihp,jam your finger in her p***y
2567,k,ok
2568,k3wl,cool
2569,ka,Kick Ass
2570,kafn,kill all f**king noobs
2571,kah,kisses and hugs
2572,kaw,kick ass work
2573,kay,okay
2574,kb,KiloBite
2575,kcco,keep calm chive on
2576,kek,laughing out loud
2577,kewel,cool
2578,kewl,cool
2579,kfc,kentucky fried chicken
2580,khitbash,kick her in the box and shove her
2581,khuf,know how you feel
2582,kia,Killed In Action
2583,kib,"okay, im back"
2584,kic,keep it clean
2585,kicks,sneakers
2586,kig,keep it going
2587,kiled,killed
2588,kinda,kind of
2589,kir,kid in room
2590,kis,keep it simple
2591,kisa,knight in shining armor
2592,kit,keep in touch
2593,kitfo,knock it the f**k off
2594,kitteh,kitten
2595,kiu,Keep it up
2596,kiwf,Kill It With Fire
2597,kk,ok
2598,kkk,ku klux klan
2599,kkthnxbye,okay thanks bye
2600,kky,kinky
2601,kl,cool
2602,km,kiss me
2603,kma,kiss my ass
2604,kmag,kiss my ass goodbye
2605,kmao,kick my ass off
2606,kmb,kiss my butt
2607,kmfa,kiss my f**king ass
2608,kmhba,kiss my hairy big ass
2609,kml,Killing Myself Laughing
2610,kmn,kill me now
2611,kmp,kill me please
2612,kmsl,killing myself laughing
2613,kmswl,killing myself with laughter
2614,kmu,Kinda miss you
2615,knackered,drunk
2616,knewb,new player
2617,knn,f**k your mother
2618,kno,know
2619,knw,know
2620,ko,knock out
2621,kol,kiss on lips
2622,koo,cool
2623,kool,cool
2624,kos,kid over shoulder
2625,kotc,kiss on the cheek
2626,kotd,kicks of the day
2627,kotl,kiss on the lips
2628,kotor,Knights of the old republic
2629,kots,keep on talking s**t
2630,kpc,keeping parents clueless
2631,kq,keep quiet 
2632,ks,kill steal
2633,kss,kiss
2634,kssd,kissed
2635,ksw,Ok so what
2636,kt,keep talking
2637,ktc,kill the cat
2638,ktfo,knocked the f**k out
2639,kthanxbi,"Okay, thanks. Bye."
2640,kthnxbai,"Okay, thanks, bye"
2641,kthnxbye,"Okay, thanks, bye"
2642,kthx,"ok, thank you"
2643,kthxbai,ok thanks bye!
2644,kthxbi,"ok, thank you, goodbye"
2645,kthxbye,"ok, thank you, goodbye"
2646,kthxbye,"ok, thank you, goodbye"
2647,kthxgb,ok thanks goodbye
2648,kthxmn,Ok Thanks Man
2649,kthz,ok thanks
2650,ktnx,Okay and Thanks
2651,kuhl,cool
2652,kul,cool
2653,kute,cute
2654,kutgw,Keep Up The good Work
2655,kuwl,cool
2656,kwik,quick
2657,kwim,Know What I Mean
2658,kwis,Know what I'm saying?
2659,kwit,quit
2660,kwiz,quiz
2661,kwl,cool
2662,kwtsds,Kiss where the sun don't shine
2663,kyag,Kiss Your Ass Goodbye
2664,kyfag,kiss your f**king ass goodbye
2665,kyfc,keep your fingers crossed
2666,kyko,keep your knickers on
2667,kyms,keep your mouth shut
2668,kys,kill yourself
2669,ilyt,i love you too
2670,ilyttmab,i love you to the moon and back
2671,l0lz,laugh out loud
2672,l2,learn to
2673,l2m,listening to music
2674,l2ms,laughing to myself
2675,l2p,learn to play
2676,l2r,Learn to read
2677,l337,elite
2678,l33t,elite
2679,l4l,like for like
2680,l4m3rz,lamers
2681,l8,late
2682,l84skool,late for school
2683,l8a,later
2684,l8er,later
2685,l8ers,Later
2686,l8r,see you later
2687,l8rs,laters
2688,l8rz,later
2689,l8s,later
2690,l8t,later
2691,l8ta,later
2692,l8ter,later
2693,l8tr,later
2694,[email protected],laughing at you
2695,laff,laugh
2696,lafs,love at first sight
2697,lak,love and kisses
2698,lal,laughing a little
2699,lalol,lots and lots of laughs
2700,lam,leave a message
2701,lamf,like a motherf**ker
2702,lan,local area network
2703,lappy,Laptop
2704,larp,live action role-play
2705,lasb,Lame Ass Stupid b***h
2706,lat,laugh at that
2707,lata,later
2708,lates,later
2709,latn,laugh at the newbs
2710,latr,Later
2711,latwttb,laughing all the way to the bank
2712,lau,laugh at you
2713,lawd,lord
2714,lawl,lauging out loud with a southern drawl
2715,lawl'd,laughed out loud
2716,lawled,laughed out loud
2717,lawls,laughing out loud with a southern drawl
2718,lawlz,laughing out loud with a southern drawl
2719,lazer,laser
2720,lazor,laser
2721,lbh,let's be honest
2722,lbnr,laughing but not really
2723,lbo,laughing butt off 
2724,lbr,little boy's room
2725,lbvs,laughing but very serious
2726,lcsnpc,low cost small notebook personal computer
2727,ldr,Long-distance relationship
2728,lee7,elite
2729,leet,elite
2730,legit,legitimate
2731,leik,like
2732,leme,let me
2733,lemme,let me
2734,lesbo,lesbian
2735,less than 3,love
2736,less than three,love
2737,lez,Lesbian
2738,lezbean,lesbian
2739,lezbo,lesbian
2740,lezzzie,lesbian
2741,lf,looking for
2742,lf1m,Looking for one more
2743,lf2m,looking for 2 more
2744,lfg,Looking for group
2745,lfl,let's f**k later
2746,lfm,looking for mate
2747,lfnar,laughing for no aparent reason
2748,lfp,looking for p***y
2749,lfr,Laughing for real
2750,lgb,lesbian/gay/bisexual
2751,lgbnaf,lets get butt naked and f**k
2752,lgbtq,"Lesbien, Gay, Bisexual, Transgender and Queer."
2753,lgds,let's go do something
2754,lgf,little green footballs
2755,lggd,let's go get drunk
2756,lgn,link goes nowhere
2757,lgo,life goes on
2758,lgot,let's go out tonight
2759,lgr,little girls room
2760,lgs,let's go shopping!
2761,lgtm,looks good to me
2762,lhao,laughing her ass off
2763,lhs,lets have sex
2764,lhsrn,let's have sex right now
2765,lia,life is awesome
2766,liaoyb,Like it's any of your business
2767,lic,like i care
2768,liec,like i even care
2769,liek,like
2770,liekz,likes
2771,lifo,last in first out
2772,ligad,Like I give a damn
2773,ligaff,like I give a flying f**k
2774,ligafs,like I give a flying s**t
2775,ligas,like I give a s**t
2776,lih,Laugh in head
2777,liita,love is in the air
2778,lik,like
2779,lil,little
2780,lim,Like it Matters
2781,limh,laugh in my head
2782,liol,laugh insanely out loud
2783,lirl,laughing in real life
2784,liu,Look It Up
2785,liv,live
2786,liyf,laughing in your face
2787,lj,live journal
2788,lk,like
2789,lke,like
2790,llab,Laughing like a b***h.
2791,llap,live long and prosper
2792,llc,laughing like crazy
2793,llf,laugh like f**k
2794,llh,laughing like hell
2795,llol,literally laughing out loud
2796,lltnt,live like theres no tomorrow 
2797,lm4aq,Let's meet for a quickie.
2798,lma,leave me alone
2799,lmamf,leave me alone mother f**ker
2800,lmao,laughing my ass off
2801,lmaol,laughing my ass out loud
2802,lmaomtoaoa,Laugh my ass off many times over and over again
2803,lmaonade,laughing my ass off
2804,lmaool,laughing my ass off out loud 
2805,lmaootf,Laughing my ass off on the floor 
2806,lmaorof,Laughing my Ass off Rolling on the floor
2807,lmaorotf,laughing my ass off rolling on the floor
2808,lmaowrotf,Laughing my ass of while rolling on the floor
2809,lmaowtntpm,laughing my ass off whilst trying not to piss myself
2810,lmaoxh,laughing my ass off extremely hard
2811,lmap,leave me alone please
2812,lmb,lick my balls
2813,lmbao,laughing my black ass off
2814,lmbfwao,laughing my big fat white ass off
2815,lmbo,laughing my butt off
2816,lmcao,laughing my crazy ass off
2817,lmclao,laughing my cute little ass off
2818,lmd,Lick My d**k
2819,lmfao,laughing my f**king ass off
2820,lmfbo,laugh my f**king butt off
2821,lmffao,laughing my f**king fat ass off
2822,lmffo,Laughing my f**king face off
2823,lmfho,laughing my f**king head off
2824,lmfo,laughing my face off
2825,lmfpo,laughing my f**king p***y off
2826,lmfr,Lets Meet For Real
2827,lmfto,laughing my f**kin tits off
2828,lmg,let me guess
2829,lmgdao,Laughing My God Damn Ass Off
2830,lmgtfy,Let me Google that for you
2831,lmhao,laughing my hairy ass off
2832,lmho,laughing my heiny off
2833,lmip,LETS MEET IN PERSON
2834,lmirl,Let's meet in real life
2835,lmk,let me know
2836,lmks,Let Me Know Soon
2837,lmkwc,Let me know when clear
2838,lmkwut,let me know what you think
2839,lml,love my life
2840,lmmfao,laughing my mother f**king ass off
2841,lmmfaos,laughing my mother f**king ass off silly
2842,lmmfas,laugh my mother f**kin ass off
2843,lmmffao,laughing my mother f**king fat ass off
2844,lmo,Leave Me One
2845,lmoao,Laughing my Other Ass Off
2846,lmp,lick my p***y
2847,lmpitw,let me put it this way
2848,lmpo,laughing my panties off
2849,lms,leave me some
2850,lmsao,laughing my sexy ass off
2851,lmso,laughing my socks off
2852,lmtd,limited
2853,lmtfa,leave me the f**k alone
2854,lmto,laughing my tits off
2855,lmtus,let me tell you something
2856,lmty,laughing more than you
2857,lmvo,laugh my vagina off
2858,ln,last name
2859,lnk,Link
2860,lobfl,Laugh Out Bloody f**king Loud
2861,lobl,laugh out bloody loud
2862,lof,Laughing on floor
2863,lofi,uncool
2864,lofl,laugh out f**king loud
2865,loflmao,laying on floor laughing my ass off
2866,loi,laughing on the inside
2867,lol,laughing out loud
2868,lol'd,laughed out loud
2869,lol2u,Laugh out loud to you
2870,[email protected],Laugh out loud at you
2871,lolarotf,laughing out loud and rolling on the floor
2872,lolaw,laugh out loud at work
2873,lolbs,laugh out loud but seriously
2874,lolcano,laugh out loud
2875,lolci,"laughing out loud, crying inside"
2876,lolcity,the whole city laughs out loud
2877,lold,laughed out loud
2878,loled,Laughed out loud
2879,lolees,laugh out loud
2880,lolerz,laugh out loud
2881,lolf,lots of love forever
2882,lolin,laughing out loud
2883,lolio,laugh out loud I own
2884,lollam,Laughing Out Loud Like A Maniac
2885,lollercaust,an extreme event of hilarity
2886,lollercoaster,laugh out loud (a lot)
2887,lollerskates,laughing out loud
2888,lolm,laugh out loud man
2889,loln,laught out loud... not
2890,lolngs,laghing out loud never gonna stop
2891,lolocost,laugh out loud
2892,lolol,"saying ""lol"" out loud"
2893,lololz,laugh out loud
2894,lolpimp,Laughing out loud peeing in my pants
2895,lolq,laugh out loud quietly
2896,lolrof,Laughing out loud while rolling on the floor.
2897,lolrotf,laughing out loud rolling on the floor
2898,lols,laugh out loud 
2899,lolvq,laugh out loud very quietly
2900,lolwtime,laughing out loud with tears in my eyes
2901,lolz,laugh out loud
2902,lomg,like oh my god
2903,loml,love of my life
2904,lomy,love of my life
2905,loomm,laughing out of my mind
2906,lorl,laugh out real loud
2907,lorrl,laugh out really really loud
2908,lotf,laughing on the floor
2909,loti,laughing on the inside
2910,loto,laughing on the outside
2911,lotr,lord of the rings
2912,lov,love
2913,lovu,love you
2914,loxen,laughing out loud
2915,loxxen,laughing out loud
2916,lozer,loser
2917,lpb,low ping b*****d
2918,lpiaw,Large Penis is always welcome
2919,lpms,life pretty much sucks
2920,lq,Laughing Quietly
2921,lq2m,laughing quietly to myself
2922,lqtm,Laugh quietly to myself
2923,lqtms,Laughing quietly to myself
2924,lqts,laughing quietly to self
2925,lrfl,Laughing really f**king loud
2926,lrh,laughing really hard
2927,lrqtms,laughing really quietly to myself
2928,lrt,last retweet
2929,lsfw,Less Safe For Work
2930,lshic,laughing so hard i'm crying
2931,lshid,laugh so hard i die
2932,lshifabmh,Laughing so hard I fell and broke my hip
2933,lshipmp,Laughing so Hard I Piss My Pants
2934,lshismp,laughed so hard I s**t my pants
2935,lshiwms,laughing so hard I wet myself
2936,lshmson,laughing so hard milk shot out nose
2937,lshrn,laughing so hard right now
2938,lsmih,laughing so much it hurts
2939,lsr,loser
2940,lsudi,Lets see you do it
2941,lt,long time
2942,ltb,looking to buy
2943,lthtt,laughing too hard to type
2944,ltip,laughting until I puke
2945,ltl,Let's talk later
2946,ltm,listen to me
2947,ltmq,Laugh To Myself Quietly
2948,ltms,Laughing to my self
2949,ltnc,Long time no see
2950,ltns,long time no see
2951,ltnsoh,"Long time, no see or hear"
2952,ltnt,long time no talk
2953,ltp,Lay the pipe
2954,ltr,later
2955,lttpot,laughing to the point of tears
2956,ltw,Lead The Way
2957,ltywl,love the way you lie
2958,lu2,love you too
2959,lu2d,love you to death
2960,lu4l,love you for life
2961,lub,laugh under breath
2962,luf,love
2963,luff,Love
2964,lug,lesbian until graduation
2965,luk,look
2966,lukin,looking
2967,lul,love you lots
2968,lulab,Love you like a brother
2969,lulas,Love You Like a Sister
2970,lulz,Laughing out loud.
2971,lumumi,Love you miss you mean it
2972,lurker,one who reads but doesn't reply
2973,lurve,love
2974,luser,user who is a loser
2975,lusm,love you so much
2976,luv,love
2977,luver,lover
2978,luvuvm,love you very much
2979,luvv,love
2980,luzar,Loser
2981,lv,love
2982,lve,Love
2983,lvl,level
2984,lvn,loving
2985,lvr,lover
2986,lvya,love you
2987,lwih,look what I have
2988,lwn,last week's news
2989,lwwy,Live While We\'re Young
2990,ly,love you
2991,ly2,love you to
2992,lya,love you always
2993,lyaab,Love you as a brother
2994,lyaaf,Love you as a friend
2995,lyao,laugh your ass off
2996,lybo,laugh your butt off
2997,lyf,life
2998,lyfao,laughing your f**king ass off
2999,lyfe,life
3000,lyk,like
3001,lyk3,like
3002,lyke,like
3003,lyl,love you lots
3004,lylab,love you like a brother
3005,lylaba,love you like a brother always
3006,lylad,love you like a dad
3007,lylafklc,love you like a fat kid loves cake
3008,lylal,love you lots and lots
3009,lylam,love you like a mom
3010,lylas,I love you like a sister
3011,lylasa,love you like a sister always
3012,lylno,Love you like no other
3013,lyls,love you lots
3014,lymi,love you mean it
3015,lysfm,love you so f**king much
3016,lysm,love you so much
3017,lyt,love you too
3018,lyvm,love you very much
3019,lzer,laser
3020,lzr,loser
3021,4mer,former
3022,Fmup,f**k me up
3023,m,am
3024,m$,Microsoft
3025,m$wxp,Microsoft Windows XP
3026,m&d,mom and dad
3027,m'kay,okay
3028,m.i.a,Missing In Action
3029,m.o,makeout
3030,m/b,maybe
3031,m/f,male or female
3032,m2,me too
3033,m3,me
3034,m473s,friends
3035,m473z,friends
3036,m4f,male for female
3037,m4m,male for male
3038,m8,friend
3039,m84l,mate for life
3040,m8s,mates
3041,m8t,mate
3042,m8t's,friends
3043,m9,mine
3044,mabby,maybe
3045,mabe,Maybe
3046,maga,make America great again
3047,mah,my
3048,mai,my
3049,mao,my ass off
3050,marvy,marvelous
3051,masterb8,masterbate
3052,mastrb8,masturbate.
3053,mayb,maybe
3054,mayte,mate
3055,mb,my bad
3056,mbf,my best friend
3057,mbfal,my best friend and lover
3058,mbhsm,My Boobs Hurt So Much
3059,mbl8r,Maybe Later
3060,MC,master of ceremonies
3061,mcds,mcdonalds
3062,Mcm,Man crush Monday 
3063,mcs,My computer sucks
3064,mcse,Microsoft Certified Systems Engineer
3065,mdf,my dear friend
3066,mdk,murder death kill
3067,me2,me too
3068,meatcurtain,woman's private parts
3069,meatspace,the real world
3070,meeh,me
3071,mego,my eyes glaze over
3072,meh,whatever
3073,messg,message
3074,mf,motherf**ker
3075,mf2f4sx,meet face to face for sex
3076,mfa,mother f**king a**h**e
3077,mfah,motherf**king a**h**e
3078,mfao,my f**king ass off
3079,mfb,mother f**king b***h
3080,mfer,motherf**ker
3081,mfg,merge from current
3082,mfkr,motherf**ker
3083,mflfs,married female looking for sex
3084,mfr,motherf**ker
3085,mfw,my face when
3086,mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
3087,mgmt,management 
3088,mhh,my head hurts
3089,mhm,Yes
3090,mho,My Humble Opinion
3091,mia,Missing In Action
3092,mic,microphone
3093,miid,my internet is down
3094,milf,Mom i'd like to f**k
3095,miltf,Mom I'd like to f**k
3096,min,minute
3097,mins,minutes
3098,miq,make it quick
3099,mir,mom in room
3100,mirl,meet in real life
3101,misc.,miscellaneous
3102,miself,myself
3103,mite,might
3104,miw,mom is watching
3105,miwnlf,mom I would not like to f**k.
3106,mk,mmm....ok
3107,mkay,ok
3108,mlc,mid life crisis
3109,mle,emily
3110,mlg,Major League Gaming
3111,mlia,my life is amazing
3112,mlm,multi level marketer
3113,mlod,mega laugh out loud of doom
3114,mlp,my little pony
3115,mmamp,Meet me at my place
3116,mmas,meet me after school
3117,mmatc,meet me around the corner
3118,mmatp,meet me at the park
3119,mmbocmb,message me back or comment me back
3120,mmd,make my day
3121,Mmih,Match made in heaven
3122,mmiw,my mom is watching
3123,mmk,"umm, ok"
3124,mml,making me laugh
3125,mml8r,meet me later
3126,mmlfs,married man looking for sex
3127,mmmkay,okay
3128,mmo,Massive Multiplayer Online
3129,mmorpg,massively multiplayer online role playing game
3130,mmt,meet me there
3131,mmtyh,My mom thinks you're hot
3132,mmw,making me wet
3133,mngmt,management
3134,mngr,manager
3135,mnm,eminem
3136,mnt,More next time
3137,mobo,motherboard
3138,mof,matter of fact
3139,mofo,mother f**ker
3140,moh,Medal Of Honor
3141,mohaa,Medal of Honor Allied Assult
3142,mol,more or less
3143,mompl,moment please
3144,moobs,man boobs
3145,mor,more
3146,morf,male or female
3147,moro,tomorrow
3148,mos,mom over shoulder
3149,moss,member of same sex
3150,motarded,more retarded
3151,motd,message of the day
3152,motos,member of the opposite sex
3153,mpaw,my parents are watching
3154,mpbis,most popular boy in school
3155,mpd,Multiple Personality Disorder
3156,mpgis,most popular girl in school
3157,mph,miles per hour
3158,mpih,my penis is hard
3159,mpty,more power to you
3160,mrau,message received and understood
3161,msf,male seeking female
3162,msg,message
3163,msgs,messages
